Event Number,Event Type Group,Event Description,Approximate Location,Neighbourhood Id,Neighbourhood Name,Dispatch Date,Dispatch Time,Dispatch Year,Dispatch Month Name,Dispatch Month Number,Dispatch Day Number,Day Of Week,Event Close Date,Event Close Time,Equipment Assigned,Latitude,Longitude,Location,Count
E19056026,MD,MEDICAL,134 AV NW / 37 ST NW,2070,BELMONT,September 14 2019,15:05:58,2019,SEPTEMBER,09,14,Saturday,September 14 2019,17:19:58,PUMPER(1),53.59494153443512,-113.40055427303287,"(53.59494153443512, -113.40055427303287)",1
E19070568,FR,FIRE,175 ST NW / 85 AV NW,4560,THORNCLIFFE,November 21 2019,18:02:03,2019,NOVEMBER,11,21,Thursday,November 21 2019,18:11:06,"DCCAR(1), HZUNIT(1), INVESTIGATOR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.51869401767402,-113.62413051681908,"(53.51869401767402, -113.62413051681908)",1
E19066023,MD,MEDICAL,59A ST NW / 155 AV NW,2340,HOLLICK KENYON,October 30 2019,20:16:38,2019,OCTOBER,10,30,Wednesday,October 30 2019,22:01:43,PUMPER(1),53.61762398390005,-113.43238887017802,"(53.61762398390005, -113.43238887017802)",1
E19064439,MD,MEDICAL,WOOD PL NW / DEAD END,5570,WINDERMERE,October 23 2019,13:19:02,2019,OCTOBER,10,23,Wednesday,October 23 2019,15:05:17,PUMPER(1),53.440067067799205,-113.62686282213369,"(53.440067067799205, -113.62686282213369)",1
E19068605,MD,MEDICAL,STONY PLAIN RD NW / STONY PLAIN RD WB NW,4400,PLACE LARUE,November 12 2019,11:01:56,2019,NOVEMBER,11,12,Tuesday,November 12 2019,13:25:15,PUMPER(1),53.54124557376306,-113.62019980105168,"(53.54124557376306, -113.62019980105168)",1
E19071257,MD,MEDICAL,165 ST NW / 99 AV NW,4180,GLENWOOD,November 25 2019,13:23:11,2019,NOVEMBER,11,25,Monday,November 25 2019,13:41:54,PUMPER(1),53.53753011192544,-113.60593331608369,"(53.53753011192544, -113.60593331608369)",1
E19062874,MD,MEDICAL,135 ST NW / 114 AV NW,3450,WOODCROFT,October 16 2019,12:15:55,2019,OCTOBER,10,16,Wednesday,October 16 2019,15:25:27,PUMPER(1),53.56506602485904,-113.55464828075213,"(53.56506602485904, -113.55464828075213)",1
E19067425,86,ADVISED EVENT,105 ST NW / 105 AV NW,1030,CENTRAL MCDOUGALL,,,,,,,,November 06 2019,11:55:27,NO UNITS DISPTCHED,53.54912269924386,-113.50036756425263,"(53.54912269924386, -113.50036756425263)",1
E19069186,MD,MEDICAL,162 AV NW / 54 ST NW,2340,HOLLICK KENYON,November 15 2019,01:41:53,2019,NOVEMBER,11,15,Friday,November 15 2019,02:59:10,PUMPER(1),53.623525092398154,-113.41925070208188,"(53.623525092398154, -113.41925070208188)",1
E19069306,OF,OUTSIDE FIRE,100 AV NW / 178 ST NB NW,4400,PLACE LARUE,November 15 2019,13:05:00,2019,NOVEMBER,11,15,Friday,November 15 2019,13:24:00,PUMPER(1),53.53791824611472,-113.62748058094185,"(53.53791824611472, -113.62748058094185)",1
E19056388,VF,VEHICLE FIRE,170 ST NB NW / 100 AV NW,4400,PLACE LA RUE,September 16 2019,10:19:14,2019,SEPTEMBER,09,16,Monday,September 16 2019,10:27:09,PUMPER(1),53.539289151025216,-113.61500368493172,"(53.539289151025216, -113.61500368493172)",1
E19068521,MD,MEDICAL,JASPER AV NW / 90 ST NW,1190,RIVER VALLEY KINNAIRD WARD 4,November 12 2019,01:53:00,2019,NOVEMBER,11,12,Tuesday,November 12 2019,03:12:37,PUMPER(1),53.550702132251196,-113.47376734060829,"(53.550702132251196, -113.47376734060829)",1
E19055972,MD,MEDICAL,100 AV NW / 182 ST NW,4400,PLACE LA RUE,September 14 2019,09:55:01,2019,SEPTEMBER,09,14,Saturday,September 14 2019,10:50:35,PUMPER(1),53.53761757992694,-113.635831121878,"(53.53761757992694, -113.635831121878)",1
E19063669,RC,RESCUE,WINDERMERE RD NW / WINDERMERE BLVD NW,5570,WINDERMERE,October 19 2019,18:50:13,2019,OCTOBER,10,19,Saturday,October 19 2019,18:53:07,"DCCAR(1), PUMPER(1), RESCUE(1)",53.43951903474278,-113.6208999001002,"(53.43951903474278, -113.6208999001002)",1
E19071092,MD,MEDICAL,175A ST SW / 5A AV SW,5570,WINDERMERE,November 24 2019,14:11:54,2019,NOVEMBER,11,24,Sunday,November 24 2019,15:46:32,PUMPER(1),53.43086354950434,-113.6240451469602,"(53.43086354950434, -113.6240451469602)",1
E19070366,OF,OUTSIDE FIRE,100 AV NW / 178 ST NB NW,4400,PLACE LA RUE,November 20 2019,18:14:26,2019,NOVEMBER,11,20,Wednesday,November 20 2019,18:39:30,PUMPER(1),53.53791824611472,-113.62748058094185,"(53.53791824611472, -113.62748058094185)",1
E19062084,MD,MEDICAL,100 AV NW / 184 ST NW,4400,PLACE LARUE,October 12 2019,08:21:34,2019,OCTOBER,10,12,Saturday,October 12 2019,09:24:34,PUMPER(1),53.537134110813305,-113.64551265733112,"(53.537134110813305, -113.64551265733112)",1
E19065277,AL,ALARMS,WATES LINK SW / WATCHER WAY SW,5570,WINDERMERE,October 27 2019,15:35:55,2019,OCTOBER,10,27,Sunday,October 27 2019,16:08:09,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.43270697793183,-113.62064746374945,"(53.43270697793183, -113.62064746374945)",1
